Year,Theme
1930,Industrialization
1930,Architecture
1930,Windmill
1930,Forests and forestry
1920,Queencup
1920,Clintonia uniflora
1920,Botanical study
1910,Women
1910,Portraits
1940,Alpine harebell
1940,Botanical study
1940,Campanula lasiocarpa
1910,Shooting star
1910,Botanical study
1910,Dodecatheon meadia
1920,Women
1920,Figure group
1920,Nudity
1910,Stelleria leata
1910,Botanical study
1930,Winged being
1930,Life
1930,Fantasy
1930,Time
1930,Allegory
1920,Sewing
1920,Figure female
1920,Occupations
1920,Domestic
1920,Children
1910,Women
1910,Portraits
1910,Profile
1920,Animals
1920,Weapons
1920,Horses
1920,Firearms
1930,Trillium erectum
1930,Botanical study
1910,Flowers
1910,Begonia
1910,Plants
1910,Botanical study
1920,Ledum groenlandicum
1920,Labrador tea
1920,Botanical study
1920,Orchis spectabilis
1920,Showy orchis
1920,Botanical study
1900,Women
1900,Portraits
1920,Persimmon
1920,Botanical study
1920,Diospyros virginiana
1930,Lotus puberulus
1930,Botanical study
1920,Rosebud orchid
1920,Pogonia divaricata
1920,Botanical study
1920,Figure female
1920,Nudity
1900,Flowers
1900,Botanical study
1910,Vaccinium scoparium
1910,Grouse whortleberry
1910,Botanical study
1910,Weather
1910,Landscapes
1910,Rivers
1910,Fog
1910,Women
1910,Government
1910,Figure group
1910,Nudity
1910,War
1910,Allegory
1910,Sedum stenopetalum
1910,Botanical study
1900,Botanical study
1900,Lithospermum canescens
1910,Soldiers
1910,Architecture
1910,Weapons
1910,Occupations
1910,Fence
1910,Detail
1910,Military
1910,Spear
1920,Northern onion
1920,Botanical study
1920,Allium sibiricum
1930,Pinguicula vulgaris
1930,Botanical study
1920,Men
1920,Portraits
1920,Figure male
1920,Children
1930,Men
1930,Portraits
1930,Figure male
1930,Children
1930,Women
1930,Portraits
1920,Figure female
1920,Nudity
1910,Primula maccalliana
1910,Alberta primrose
1910,Botanical study
1910,Sport and play
1910,Recreation
1910,Figure male
1910,Fishing
1920,Comandra pallida
1920,Bastard toadflex
1920,Botanical study
1920,Green pyrola
1920,Pyrola chlorantha
1920,Botanical study
1930,Cliffrose
1930,Botanical study
1930,Cowania stanshuriana
1930,Bearpoppy
1930,Arctomecon merriami
1930,Botanical study
1920,Bushpoppy
1920,Dendromecon rigidum
1920,Botanical study
1930,Verbena wrightii
1930,Botanical study
1930,Vervain
1920,Plants
1920,Botanical study
1910,Women
1910,Family portrait
1910,Portraits
1930,Primrose
1930,Primula angustifolia
1930,Botanical study
1930,Animals
1930,Fishes
1910,Showy aster
1910,Aster conspicuus
1910,Botanical study
1910,Gaylussacia brachycera
1910,Box huckleberry
1910,Botanical study
1920,Figure female
1920,Nudity
1900,Erigeron salsuginosus
1900,Showy fleabane
1900,Botanical study
1910,Silene caroliniana
1910,Botanical study
1910,Peatpink
1940,Flowers
1940,Botanical study
1900,Lobelia kalmii
1900,Botanical study
1920,Yellow stonecrop
1920,Sedum stenopetalum
1920,Botanical study
1930,Blue bead
1930,Clintonia borealis
1930,Botanical study
1920,Squirrelcorn
1920,Bikukulla canadensis
1920,Botanical study
1930,Architecture
1930,Figure group
1930,Automobiles
1930,Vehicles
1930,Animals
1930,Architecture
1930,Dogs
1930,Figure group
1930,Automobiles
1930,Vehicles
1910,Mertensia virginica
1910,Virginia bluebells
1910,Botanical study
1910,Quakerladies
1910,Botanical study
1910,Houstonia caerulea
1930,Figure female
1930,Nudity
1910,Figure group
1910,Nudity
1910,Academic study
1910,Fragment
1910,Leg
1900,Mountains
1900,Landscapes
1900,Wasatch Mountains
1920,Animals
1920,Horses
1920,Sculpture study
1920,Viburnum pauciflorum
1920,Botanical study
1920,Cranberrybush
1900,Moehringia laberiflora
1900,Botanical study
1940,Trees
1940,Landscapes
1900,Trees
1900,Landscapes
1930,Bacchantes
1930,Figure female
1930,Mythology
1910,Pink pussytoes
1910,Botanical study
1910,Antennaria rosea
1910,Arethusa (Greek mythology)
1910,Arethusa bulbosa
1910,Botanical study
1920,Wooly arnica
1920,Arnica tomentosa
1920,Botanical study
1920,Flame azalea
1920,Botanical study
1920,Azaleas
1930,False indigo
1930,Baptista bructeata
1930,Botanical study
1920,Crossvine
1920,Anisostichus capreolatus
1920,Botanical study
1910,Animals
1910,Anatomical study
1910,Horses
1910,Sculpture study
1920,Architecture
1920,Windows
1920,Detail
1900,Mountains
1900,Landscapes
1900,Mount Hood
1900,Lost Lake
1900,Lakes
1900,Waterscapes
1900,Animals
1900,Pig
1910,Primrose violet
1910,Botanical study
1910,Viola primulifolia
1910,Gentiana prostrata
1910,Botanical study
1910,Moss gentian
1920,Zenobia
1920,Zenobia cassinifolia
1920,Botanical study
1900,Aquilegia brevistyla
1900,Shortspur columbine
1900,Botanical study
1920,Figure female
1930,Landscapes
1910,Botanical study
1910,Evergreen saxifrage
1910,Leptarrhena pyrolifolia
1930,Spanish bayonet
1930,Yucca baccata
1930,Botanical study
1930,Delphinium
1930,Delphinium scopulorum
1930,Botanical study
1930,Gentian
1930,Gentiana holopetala
1930,Botanical study
1930,Oenothera lavandalaefolia
1930,Evening primrose
1930,Botanical study
1900,Figure female
1920,Clematis viorna
1920,Leather flower
1920,Botanical study
1910,Women
1910,Portraits
1910,Children
1910,Architecture
1910,Religion
1910,Church buildings
1910,Shortia galacifolia
1910,Oconee-bells
1910,Botanical study
1920,Oxytropis aepicola
1920,Botanical study
1910,Sidesaddle goldenrod
1910,Botanical study
1930,Figure female
1930,Nudity
1920,Sanifoiga adscendeus
1920,Botanical study
1920,Beautyberry
1920,Callicarpa americana
1920,Botanical study
1920,Foliage
1920,Botanical study
1920,Sculpture study
1930,Figure female
1930,Chairs
1930,Nudity
1930,Furnishings
1920,Aster
1920,Aster hirariifolius
1920,Botanical study
1930,Hybrid pitcherplant
1930,Sarrancenia drummondii xs rubra
1930,Botanical study
1900,Anemone drummondii
1900,Botanical study
1900,Anemone
1920,Amelanchier alnifolia
1920,Saskatoon
1920,Botanical study
1900,Bunchberry
1900,Botanical study
1900,Cornus canadensis
1920,Toad trillium
1920,Botanical study
1920,Trillium sessile
1920,Chionanthus virginica
1920,Botanical study
1920,Fringetree
1920,Animals
1920,Anatomical study
1920,Dogs
1920,Sculpture study
1930,Landscapes
1930,Coasts
1930,Women
1930,Portraits
1930,Children
1930,Lilium philadelphicum
1930,Botanical study
1930,Wood lily
1920,Saxifrage
1920,Saxifraga caespitosa
1920,Botanical study
1930,Aquilegia saximontana
1930,Botanical study
1930,Blue columbine
1920,Figure group
1920,Nudity
1920,Sculpture study
1910,Trees
1910,Landscapes
1910,Architecture
1910,Sweet androsace
1910,Androsace carinata
1910,Botanical study
1900,Saxifraga oppositifolia
1900,Purple saxifrage
1900,Botanical study
1910,Landscapes
1910,Architecture
1910,Domestic
1910,Figure group
1910,Cities and towns
1910,Dwellings
1910,Hedysarum sulphurescens
1910,Hedysarum
1910,Botanical study
1920,Mountains
1920,Landscapes
1920,Deserts
1920,Animals
1920,Architecture
1920,Cattle
1920,Figure(s) in exterior
2000,Architecture
2000,Bicycles
2000,Figure group
2000,Figure(s) in exterior
2000,Vehicles
1920,Nudity
1900,Queencup
1900,Clintonia uniflora
1900,Botanical study
1910,Landscapes
1910,Lakes
1920,Architecture
1920,Pediment
1920,Detail
1920,Ptarmiganberry
1920,Arctous alpina
1920,Botanical study
1910,Landscapes
1910,Figure group
1910,Male and female
1920,Greendragon
1920,Arisaema dracontium
1920,Botanical study
1920,Showy oxytrope
1920,Botanical study
1920,Oxytropis splendens
1910,Porteranthus trifoliatus
1910,Botanical study
1910,Bowmansroot
1920,Death camas
1920,Botanical study
1920,Zygadenus venenosus
1940,Landscapes
1940,Forests and forestry
1940,Rivers
1910,Landscapes
1910,Arboretum
1910,Bitterroot
1910,Lewisia redivivia
1910,Botanical study
1920,Yellow willow grass
1920,Botanical study
1920,Mountains
1920,Landscapes
1920,Sunset Hill
1920,Figure(s) in exterior
1920,Pilot
1920,Occupations
1920,Men
1920,Portraits
1920,Military
1910,Pilot
1910,Occupations
1910,Men
1910,Portraits
1910,Military
1920,Golden sedge
1920,Carex aurea
1920,Botanical study
1920,Landscapes
1920,Plains
1920,Lathyrus ochroleucus
1920,Botanical study
1920,White pea
1900,Architecture
1900,Government
1900,Iowa State Capitol
1930,Figure female
1930,Children
1920,Maypop
1920,Passiflora incarnata
1920,Botanical study
1920,Figure group
1920,Nudity
1910,Gentiana glauca
1910,Bluegreen gentian
1910,Botanical study
1900,Landscapes
1900,Architecture
1900,Castles
1930,Pacific dogwood
1930,Cornus nuttallii
1930,Botanical study
1930,Ascelpias tuberosa
1930,Butterfly weed
1930,Botanical study
1920,Figure female
1920,Nudity
1900,Plants
1900,Botanical study
1920,Clothing and dress
1920,Dress accessories
1920,Eye wear
1920,Hats
1920,Double bladderpod
1920,Botanical study
1920,Physaria didymocarpa
1910,Bearberry
1910,Arctostaphylos uva-ursi
1910,Botanical study
1920,Skeleton flower
1920,Botanical study
1920,Lygodesmia juncea
1910,Figure female
1910,Chairs
1910,Children
1910,Furnishings
1900,Botanical study
1900,Anemone canadensis
1930,Figure group
1920,Figure female
1920,Nudity
1930,Gilia linanthus parviflorus
1930,Botanical study
1900,Gilia linanthus parviflorus
1900,Botanical study
1910,Euonymus americanus
1910,Strawberry bush
1910,Botanical study
1910,Chelone glabra
1910,Turtlehead
1910,Botanical study
1910,Chimaphila maculata
1910,Botanical study
1910,Spotted pipsissewa
1930,Campanula
1930,Botanical study
1930,Bellflower
1920,Botanical study
1920,Petalostemon purpureum
1920,Purple prairieclover
1920,Drummond pitcherplant
1920,Botanical study
1920,Sarracenia drummondii
1920,Pilot
1920,Occupations
1920,Men
1920,Portraits
1920,Military
1910,Pilot
1910,Occupations
1910,Men
1910,Portraits
1910,Military
1930,Amusements
1930,Grooming
1930,Figure female
1930,Recreation
1930,Nudity
1910,Men
1910,Portraits
1930,Delphinium nudicale
1930,Red larkspur
1930,Botanical study
1930,Leather flower
1930,Botanical study
1930,Clematis hirsutissima
1930,Landscapes
1930,Forests and forestry
1900,Landscapes
1900,Roads
1900,Architecture
1900,Domestic
1900,Dwellings
1930,Nudity
1920,Musical instruments
1920,Figure female
1920,Nudity
1910,Liriodendron tulipifera
1910,Botanical study
1910,Tuliptree
1930,Figure female
1920,Foliage
1920,Botanical study
1910,Botanical study
1910,Arabis drummondii
1920,Pyrola minor
1920,Small pyrola
1920,Botanical study
1920,Ilex verticillata
1920,Winterberry
1920,Botanical study
1910,Oxycoccus palustris
1910,Small cranberry
1910,Botanical study
1930,Calochortus kennedyi
1930,Desert mariposa
1930,Botanical study
1900,Figure female
1910,Viola orbiculata
1910,Yellow violet
1910,Botanical study
1920,Pinus palustris
1920,Longleaf pine
1920,Botanical study
1930,Plants
1930,Botanical study
1930,Hedgehog cactus
1930,Coryphantha arizonica
1930,Botanical study
1910,Bridges
1910,Landscapes
1910,Architecture
1930,Landscapes
1930,Roads
1930,Plains
1910,Figure female
1900,Men
1900,Portraits
1910,Sewing
1910,Occupations
1910,Domestic
1910,Clothing and dress
1910,Dress accessories
1910,Stocking
1910,Sewing tool
1920,Tassel cottongrass
1920,Eriophorum angustifolium
1920,Botanical study
1920,The World's Work Magazine
1920,Literature
1930,Figure female
1910,Saxifragaceae
1910,Botanical study
1920,Gentiana saponaria
1920,Bottle gentian
1920,Botanical study
1910,Red comandra
1910,Comandra livida
1910,Botanical study
1920,Nudity
1920,Figure male
1910,Industrialization
1910,Architecture
1910,Factory
1900,Landscapes
1900,Trees
1900,Landscapes
1910,Landscapes
1910,Figure group
1910,Forests and forestry
1920,Blue bead
1920,Clintonia borealis
1920,Botanical study
1920,Animals
1920,Architecture
1920,Mule
1920,Vehicles
1920,Cart
1920,Men
1920,Portraits
1920,Nudity
1920,Fragment
1920,Leg
1930,Cupressus macrocarpa
1930,Botanical study
1930,Sweet trillium
1930,Trillium vasyi
1930,Botanical study
1900,Bronze bells
1900,Botanical study
1900,Stenanthium occidentale
1920,Trees
1920,Landscapes
1920,Animals
1920,Horses
1900,Pogonia ophioglossoides
1900,Rose pogonia
1900,Botanical study
1930,Figure female
1930,Magnolia tripetala
1930,Botanical study
1930,Umbrella tree
1910,Figure female
1910,Occupations
1910,Peasant
1930,Flowers
1930,Botanical study
1930,Apple
1930,Fruit
1930,Containers
1910,Saxifraga lyallii
1910,Redstem saxifrage
1910,Botanical study
1930,Evening primrose
1930,Oenothera
1930,Botanical study
1920,Queencup
1920,Clintonia uniflora
1920,Botanical study
1930,Cactus
1930,Botanical study
1930,Cholla opuntia whipplei
1920,Pseudotsuga mucronata
1920,Douglas fir
1920,Botanical study
1920,Sarracenia flava
1920,Trumpetleaf
1920,Botanical study
1910,Virginia springbeauty
1910,Claytonia virginica
1910,Botanical study
1920,Centaurium venustum
1920,Pink centaurium
1920,Botanical study
1900,Figure group
1900,Cities and towns
1900,Cityscapes
1930,Mentzelia laevicaulis
1930,Botanical study
1930,Blazing star
1930,Botanical study
1930,Miner's candle
1930,Oreocarya virgata
1930,Plants
1930,Botanical study
1920,Acacia
1920,Flowers
1920,Botanical study
1920,Sculpture study
1930,Amusements
1930,Recreation
1930,Smoking
1920,Gelsemium sempervirens
1920,Carolina jessamine
1920,Botanical study
1920,Bourgeau rose
1920,Rosa bourgeauiana
1920,Botanical study
1900,Men
1900,Portraits
1910,Architecture
1910,Religion
1910,Church buildings
1910,Sculpture study
1920,Sagittaria cuneata
1920,Arum arrowhead
1920,Botanical study
1920,Amusements
1920,Landscapes
1920,Recreation
1920,Figure group
1920,Strolling
1920,Parks
1920,Landscapes
1920,Architecture
1920,Military
1920,Battlefield
1920,Sweet Azalea
1920,Botanical study
1920,Azaleas
1920,Western bluebells
1920,Mertensia paniculata
1920,Botanical study
1910,Swamp magnolia
1910,Magnolia virginiana
1910,Botanical study
1910,Figure female
1930,Gentiana newberri
1930,Gentian
1930,Botanical study
1940,Currant
1940,Ribes species
1940,Botanical study
1920,Architecture
1920,Pediment
1920,Detail
1930,Lygodesmia grandiflora
1930,Botanical study
1930,Skeleton weed
1920,Landscapes
1920,Figure group
1920,Summer
1920,Seasons
1930,Men
1930,Portraits
1910,Vicia americana
1910,Botanical study
1920,Animals
1920,Anatomical study
1920,Horses
1920,Sculpture study
1900,Botanical study
1900,Arnica alpina
1900,Figure female
1900,Cassiope mertensiana
1900,Cassiope
1900,Botanical study
1950,Landscapes
1950,Architecture
1950,Religion
1950,Castles
1950,Rivers
1950,Church buildings
1900,Plants
1900,Botanical study
1920,Figure female
1920,Nudity
1900,Medicine
1900,Physicians
1900,Occupations
1900,Men
1900,Figure group
1960,Medicine
1960,Physicians
1960,Occupations
1960,Men
1960,Figure group
1920,Partridgeberry
1920,Mitchella repens
1920,Botanical study
1900,Literature
1900,Character
1900,Inferno
1900,Beatrice
1930,Yerba mansa
1930,Anemopsis californica
1930,Botanical study
1920,Botanical study
1920,Mitella nuda
1900,Botanical study
1900,Mitella nuda
1910,Crowberry
1910,Empetrum nigrum
1910,Botanical study
1920,Trillium chloropetalum
1920,Giant trillium
1920,Botanical study
1910,Trees
1910,Landscapes
1910,Manitou
1900,Botanical study
1900,Heieracium gracile
1910,Sidebells pyrola
1910,Pyrola secunda
1910,Botanical study
1920,Architecture
1920,Windows
1920,Detail
1910,Pyxie
1910,Botanical study
1910,Pyxidanthera barbulata
1920,Plants
1920,Botanical study
1930,Landscapes
1930,Occupations
1930,Labor unions
1930,Men
1930,Figure group
1930,Plains
1920,Gray ragwort
1920,Botanical study
1920,Senecio canus
1900,Occupations
1900,Chemist
1900,Men
1900,Science
1900,Portraits
1910,Veronica wormskjoldii
1910,Botanical study
1930,Trillium underwoodii
1930,Wake-robin
1930,Botanical study
1900,Yellowstone National Park
1900,Landscapes
1900,Geyser
1900,Parks
1930,Shooting star
1930,Dodecatheon hendersonii
1930,Botanical study
1930,Carolina pink
1930,Spigelia marylandica
1930,Botanical study
2000,Architecture
2000,Bicycles
2000,Figure group
2000,Figure(s) in exterior
2000,Vehicles
1920,Crustaceans
1920,Animals
1920,Anatomical study
1920,Fishes
1920,Crabs
1920,Sculpture study
1920,Calochortus kennedyi
1920,Scarlet mariposa
1920,Botanical study
1930,Trees
1930,Landscapes
1930,Roma
1930,Figure group
1900,Figure female
1920,Flowers
1920,Botanical study
1910,Veronica serpyllifolia
1910,Botanical study
1920,Solidago oreophila
1920,Mountain goldenrod
1920,Botanical study
1920,Plume anemone
1920,Botanical study
1920,Pulsatilla occidentalis
1930,Phlox
1930,Phlox caespitosa
1930,Botanical study
1900,Women
1900,Zingare
1900,Portraits
1910,Douglas honeysuckle
1910,Lonicera glaucescens
1910,Botanical study
1920,Prairie penstemon
1920,Penstemon erianthera
1920,Botanical study
1920,Figure female
1920,Star solomonplume
1920,Botanical study
1920,Vagnera stellata
1920,Women
1920,Figure female
1920,Portraits
1920,Children
1910,Apocyum androsaemfolium
1910,Dogbane
1910,Botanical study
1930,Figure female
1930,Occupations
1930,Peasant
1920,Animals
1920,Anatomical study
1920,Horses
1920,Sculpture study
1920,Figure male
1910,Figure male
1930,Anemone zephyra
1930,Botanical study
1930,Anemone
1920,Red lily
1920,Lilium montanum
1920,Botanical study
1920,Fouquieria splendens
1920,Botanical study
1920,Ocotillo
1910,Sleep
1910,State of being
1910,Figure male
1900,Sleep
1900,State of being
1900,Figure male
1920,Trees
1920,Women
1920,Landscapes
1920,Figure group
1930,Figure female
1930,Nudity
1930,Figure female
1930,Nudity
1910,Strawberry-Blite
1910,Botanical study
1910,Chenopodium capitatum
1920,Pussy-ears
1920,Calochortus elegans
1920,Botanical study
1910,Women
1910,Landscapes
1910,Figure group
1910,Nudity
1920,Wake-robin
1920,Botanical study
1920,Trillium sessile
1920,Double bladderpod
1920,Botanical study
1920,Physaria didymocarpa
1920,Prairie aster
1920,Aster campestris
1920,Botanical study
1920,Women
1920,Portraits
1920,Children
1900,Figure female
1900,Penstemon
1900,Penstemon procerus
1900,Botanical study
1920,White dryad
1920,Dryas octopetala
1920,Botanical study
1920,Animals
1920,Sleep
1920,Dogs
1920,State of being
1910,Weather
1910,Landscapes
1910,Cloud
1910,Ranunculus suksdorfii
1910,Botanical study
1910,Avalanche buttercup
1920,Figure female
1910,Plants
1910,Botanical study
1900,Landscapes
1900,Yosemite Valley
1900,Valleys
1940,Erigeron unalaschcensis
1940,Aleutian fleabane
1940,Botanical study
1920,Nudity
1910,Sanguinaria canadensis
1910,Bloodroot
1910,Botanical study
1910,Anatomical study
1910,Skeleton
1910,Fragment
1910,Sculpture study
1910,Corathorhiza corallorhiza
1910,Botanical study
1910,Oxytropis podocarpa
1910,Botanical study
1910,Alpine pointvetch
1920,Figure female
1920,Nudity
1910,Antennaria luzuloides
1910,Buff pussytoes
1910,Botanical study
1920,Pineland aster
1920,Aster squarrosus
1920,Botanical study
1930,Plants
1930,Botanical study
1930,Nudity
1910,Architecture
1910,Religion
1910,Church buildings
1910,Sculpture study
1900,Women
1900,Weather
1900,Landscapes
1900,Winter
1900,Architecture
1900,Farms
1900,Figure group
1920,Landscapes
1920,Architecture
1920,Balconies
1920,Domestic
1920,Detail
1920,Figure female
1920,Nudity
1910,Sport and play
1910,Recreation
1910,Children
1910,Children
1910,Landscapes
1910,Portraits
1910,Family
1910,Flags
1900,Path
1900,Landscapes
1900,Roads
1900,Forests and forestry
1910,Lupinus argenteus
1910,Blue lupine
1910,Botanical study
1920,Hazel alder
1920,Alnus regosa
1920,Botanical study
1920,Women
1920,Portraits
1930,Animals
1930,Figure female
1930,Monkeys
1920,Disasters
1920,Shipwreck
1930,Primrose
1930,Primula parryi
1930,Botanical study
1920,Rabbits
1920,Animals
1920,Birds
1920,Sculpture study
1920,Virginia stewartia
1920,Botanical study
1920,Stewartia malachodendron
1920,Androsace subumbellata
1920,Botanical study
1920,Pygmy androsace
1910,Salix petrophila
1910,Rock willow
1910,Botanical study
1920,Orchis rotundifolia
1920,Roundleaf orchis
1920,Botanical study
1900,Chairs
1900,Older people
1900,Figure male
1900,Furnishings
1930,Gilia aggregata
1930,Scarlet gilia
1930,Botanical study
1930,Eustoma russelianum
1930,Botanical study
1920,Montana parnassia
1920,Parnassia montanesis
1920,Botanical study
1920,Landscapes
1920,Nudity
1920,Forests and forestry
1920,Botanical study
1920,Rose paintbrush
1920,Castilleja pallida
1900,Landscapes
1900,Lakes
1900,Great Salt Lake
1920,Botanical study
1920,Meadow fleabane
1920,Erigeron speciosus
1920,Ghostpipe
1920,Thalesia uniflora
1920,Botanical study
1910,Figure female
1960,Landscapes
1960,Animals
1960,Birds
1960,Plains
1920,Figure female
1920,Nudity
1920,Botanical study
1920,Purple penstemon
1920,Penstemon lyallii
1920,Figure female
1910,Kalmia angustifolia
1910,Lambkill
1910,Botanical study
1920,Polycodium stamineum
1920,Botanical study
1920,Deerberry
1920,Chairs
1920,Children
1920,Furnishings
1900,Trees
1900,Landscapes
1900,Willow tree
1900,Rivers
1900,Seasons
1900,Spring
1940,Wood merrybells
1940,Uvalaria perfoliata
1940,Botanical study
1910,Partridgeberry
1910,Mitchella repens
1910,Botanical study
1920,Northern bedstraw
1920,Galium boreale
1920,Botanical study
1920,Figure female
1920,Nudity
1930,California fuschia
1930,Zauschneria carlifornica
1930,Botanical study
1930,Sarcodes sanguinea
1930,Snow plant
1930,Botanical study
1930,Botanical study
1930,Psilostrophe sparsiflora
1920,Dutchman's breeches
1920,Botanical study
1920,Bikukulla cucullaria
1920,Red chokeberry
1920,Aronia arbutifolia
1920,Botanical study
1930,Architecture
1930,Canals
1930,Domestic
1930,Religion
1930,Waterscapes
1930,Dwellings
1930,Church buildings
1920,Botanical study
1920,Cirsium undulatum
1920,Prairie thistle
1920,Figure female
1920,Nudity
1910,Figure female
1910,Nudity
1930,Figure female
1910,Trees
1910,Landscapes
1910,Roads
1910,Figure group
1910,Rivers
1920,Botanical study
1920,Tradescantia virginiana
1920,Virginia spiderwort
1920,Pinguicula elatior
1920,Purple butterwort
1920,Botanical study
1910,Blue phlox
1910,Phlox divaricata
1910,Botanical study
1910,Trees
1910,Weather
1910,Wind
1910,Landscapes
1910,Roads
1920,Witch-hazel
1920,Hamamelis virginiana
1920,Botanical study
1920,Animals
1920,Toads
1920,Monsters
1920,Fantasy
1920,Amphibians
1930,Cucumber cactus
1930,Botanical study
1930,Orobanche fasciculata
1930,Botanical study
1930,Broomrape
1920,Animals
1920,Anatomical study
1920,Horses
1920,Sculpture study
1920,Botanical study
1920,Fringed polygala
1920,Polygala paucifolia
1900,Animals
1900,Architecture
1900,Figure male
1900,Goat
1900,Children
1900,Vehicles
1900,Cart
1990,Animals
1990,Architecture
1990,Figure male
1990,Goat
1990,Children
1990,Vehicles
1990,Cart
1910,Witch-hazel
1910,Hamamelis virginiana
1910,Botanical study
1920,Moss campion
1920,Silene acaulis
1920,Botanical study
1910,Northern hedysarum
1910,Botanical study
1910,Hedysarum boreale
1930,Botanical study
1930,Leiophyllum lyoni
1930,Sand myrtle
1920,Delphinium elongatum
1920,Tall larkspur
1920,Botanical study
1930,Gentiana macounii
1930,Gentian
1930,Botanical study
1920,Hypopitys lanuginosa
1920,Red pinesap
1920,Botanical study
1920,Nudity
1920,Figure male
1920,Architecture
1920,Temple
1920,Column
1920,Religion
1920,Detail
1910,Men
1910,Portraits
1930,Trillium discolor
1930,Botanical study
1930,Trees
1930,Pine tree
1930,Landscapes
1930,Plains
1910,Gray phacelia
1910,Phacelia serica
1910,Botanical study
1900,Architecture
1900,Government
1900,Iowa State Capitol
1940,Bridges
1940,Description and travel
1940,Landscapes
1940,Architecture
1940,Roads
1940,"New Deal, 1933-1939"
1940,Works Progress Administration
1940,Automobiles
1930,Bridges
1930,Description and travel
1930,Landscapes
1930,Architecture
1930,Roads
1930,"New Deal, 1933-1939"
1930,Works Progress Administration
1930,Automobiles
1910,Figure female
1910,Clothing and dress
1910,Dress accessories
1910,Veil
1920,Boats and boating
1920,Architecture
1930,Flowers
1930,Botanical study
1900,Flowers
1900,Botanical study
1920,Landscapes
1920,Figure male
1920,Gardens
1920,Children
1930,Landscapes
1930,Figure male
1930,Gardens
1930,Children
1930,Botanical study
1930,Polemonium viscosum
1930,Jacob's ladder
1920,Beargrass
1920,Botanical study
1920,Xerophyllum tenax
1910,Pearl everlasting
1910,Anaphalis margaritacea
1910,Botanical study
1930,Persimmon
1930,Botanical study
1930,Diospyros virginiana
1910,Iris cristata
1910,Crested iris
1910,Botanical study
1910,Disporum trachycarpum
1910,Botanical study
1910,Fairy-bells
1900,Animals
1900,Pig
1930,Pseudocymopterus montanus
1930,Plants
1930,Botanical study
1930,Prickly poppy
1930,Argemone hispeda
1930,Botanical study
1930,Botanical study
1930,Aquilegia ecalcarata
1920,Animals
1920,Horses
1920,Sculpture study
1900,Landscapes
1900,Architecture
1900,Castles
1900,Detail
1910,Music
1910,Cytherea bulbosa
1910,Calypso (Music)
1910,Botanical study
1920,Senecio lugens
1920,Mourning groundsel
1920,Botanical study
1900,Arnica latifolia
1900,Botanical study
1900,Arnica
1910,Figure female
1910,Nudity
1940,Figure female
1940,Children
1910,Dish
1910,Flowers
1910,Spring beauty
1910,Claytonia lanceolata
1910,Botanical study
1920,Toys
1920,Weapons
1920,Figure male
1920,Children
1920,Firearms
1930,Toys
1930,Weapons
1930,Figure male
1930,Children
1930,Firearms
1910,Occupations
1910,Cardinal
1910,Men
1910,Religion
1910,Portraits
1920,Chelone glabra
1920,Turtlehead
1920,Botanical study
1920,Chrosperma muscaetoxicum
1920,Crowpoison
1920,Botanical study
1910,Prickly currant
1910,Ribes lacustre
1910,Botanical study
1920,Kruhsea streptopoides
1920,Kruhsea
1920,Botanical study
1910,Capnoides aureum
1910,Botanical study
1920,White dryad
1920,Dryas octopetala
1920,Botanical study
1930,Trillium h.
1930,Whippoorwill
1930,Botanical study
1930,Astragalus coccineus
1930,Scarlet loco
1930,Botanical study
1910,Death camas
1910,Zygadenus elegans
1910,Botanical study
1900,Mountains
1900,Western
1900,Weather
1900,Landscapes
1900,Cloud
1920,Plants
1920,Botanical study
1910,Men
1910,Portraits
1900,Men
1900,Portraits
1910,Figure group
1900,Figure group
1910,Prickly currant
1910,Ribes lacustre
1910,Botanical study
1930,Iris
1930,Iris species
1930,Botanical study
1910,Low whortleberry
1910,Botanical study
1910,Vaccinium caespitosum
1920,Animals
1920,Horses
1930,Mountains
1930,Landscapes
1930,Deserts
1910,Symphoricarpos albus
1910,Snowberry
1910,Botanical study
1910,Agoseris villosa
1910,Wooly agoseris
1910,Botanical study
1920,Figure group
1920,Nudity
1920,Animals
1920,Sleep
1920,Dogs
1920,State of being
1910,Plume anemone
1910,Botanical study
1910,Pulsatilla occidentalis
1930,Beaked hazelnut
1930,Corylus rostrata
1930,Botanical study
1910,Wild flax
1910,Linum lewisii
1910,Botanical study
1900,Men
1900,Portraits
1910,Landscapes
1910,Figure female
1910,Gardens
1910,Medicine
1910,Physicians
1910,Occupations
1910,Men
1910,Portraits
1900,Landscapes
1900,Animals
1900,Cattle
1900,Plains
1930,Figure male
1910,Trees
1910,Landscapes
1910,Chestnut tree
1910,Seasons
1910,Spring
1930,Trees
1930,Landscapes
1930,Chestnut tree
1930,Seasons
1930,Spring
1920,Mother and child
1920,Figure group
1920,Family
1900,Figure female
1900,Nudity
1910,Landscapes
1910,Farms
1910,Summer
1910,Seasons
1900,Landscapes
1900,Farms
1900,Summer
1900,Seasons
1910,Trees
1910,Landscapes
1910,Plains
1900,Amusements
1900,Reading
1900,Recreation
1900,Figure female
1920,Flowers
1920,Begonia
1900,Water
1900,Landscapes
1900,Forests and forestry
1900,Time
1900,Sunrise
1930,Mountains
1930,Landscapes
1930,Cascade Mountains
1930,Rivers
1920,Women
1920,Portraits
1920,Landscapes
1920,Farms
1920,Occupations
